Taille,Test,CPU,Mem,Action,Structure
2039300,18,6.28,160988,removeValue_middle,linkedlist
2039300,18,0.90,109724,removeValue_middle,vector
682000,18,0.34,66528,removeValue_last,arraylist
682000,18,2.10,93460,removeValue_last,linkedlist
682000,18,0.34,60244,removeValue_last,vector
374600,18,0.20,52096,changeValue_first,arraylist
374600,18,0.26,55580,changeValue_first,linkedlist
374600,18,0.20,51832,changeValue_first,vector
1974900,18,0.99,123620,changeValue_middle,arraylist
1974900,18,6.27,155660,changeValue_middle,linkedlist
1974900,18,0.85,111900,changeValue_middle,vector
1450000,18,0.87,110056,changeValue_last,arraylist
1450000,18,5.00,132104,changeValue_last,linkedlist
1450000,18,0.44,88864,changeValue_last,vector
1273400,18,0.43,82904,getValue_first,arraylist
1273400,18,3.78,114620,getValue_first,linkedlist
1273400,18,0.35,74384,getValue_first,vector
2566700,18,1.25,134768,getValue_middle,arraylist
2566700,18,6.22,180220,getValue_middle,linkedlist
2566700,18,1.04,121904,getValue_middle,vector
713900,18,0.30,66196,getValue_last,arraylist
713900,18,2.03,96208,getValue_last,linkedlist
713900,18,0.34,62344,getValue_last,vector
275600,19,0.24,50000,insert,arraylist
275600,19,0.22,47984,insert,linkedlist
275600,19,0.22,45876,insert,vector
135400,19,0.20,47312,removeValue_first,arraylist
135400,19,0.19,47496,removeValue_first,linkedlist
135400,19,0.22,43612,removeValue_first,vector
3169000,19,1.55,159240,removeValue_middle,arraylist
3169000,19,16.67,236596,removeValue_middle,linkedlist
3169000,19,1.55,158716,removeValue_middle,vector
793600,19,0.31,68500,removeValue_last,arraylist
793600,19,2.13,94000,removeValue_last,linkedlist
793600,19,0.32,64256,removeValue_last,vector
2428300,19,1.30,134220,changeValue_first,arraylist
2428300,19,6.57,176040,changeValue_first,linkedlist
2428300,19,1.04,125948,changeValue_first,vector
694800,19,0.32,62440,changeValue_middle,arraylist
694800,19,2.31,94416,changeValue_middle,linkedlist
694800,19,0.30,64392,changeValue_middle,vector
205800,19,0.19,47676,changeValue_last,arraylist
205800,19,0.22,45960,changeValue_last,linkedlist
205800,19,0.24,49436,changeValue_last,vector
2200100,19,1.22,136688,getValue_first,arraylist
2200100,19,6.30,173780,getValue_first,linkedlist
2200100,19,1.02,123860,getValue_first,vector
2907500,19,1.57,159512,getValue_middle,arraylist
2907500,19,16.87,230124,getValue_middle,linkedlist
2907500,19,1.39,158860,getValue_middle,vector
3139700,19,1.51,159096,getValue_last,arraylist
3139700,19,16.46,236436,getValue_last,linkedlist
3139700,19,1.43,154900,getValue_last,vector
458500,20,0.23,54240,insert,arraylist
458500,20,0.27,56332,insert,linkedlist
458500,20,0.25,55708,insert,vector
3203600,20,1.67,161252,removeValue_first,arraylist
3203600,20,16.37,234544,removeValue_first,linkedlist
3203600,20,1.62,155000,removeValue_first,vector
7300,20,0.16,36460,removeValue_middle,arraylist
7300,20,0.18,37008,removeValue_middle,linkedlist
7300,20,0.17,42876,removeValue_middle,vector
3012500,20,1.48,161116,removeValue_last,arraylist
3012500,20,16.40,232920,removeValue_last,linkedlist
